Name,Height (inches),Weight (lbs)
Anthony Bennett,79,240
Victor Oladipo,76,213
Otto Porter Jr.,81,198
Cody Zeller,84,240
Alex Len,85,250
Nerlens Noel,83,220
Ben McLemore,77,195
Kentavious Caldwell-Pope,78,205
Trey Burke,73,175
C.J. McCollum,75,190
Michael Carter-Williams,78,190
Steven Adams,83,265
Kelly Olynyk,84,240
Shabazz Muhammad,78,220
Giannis Antetokounmpo,83,242
Lucas Nogueira,84,241
Dennis Schröder,73,172
Shane Larkin,71,175
Sergey Karasev,79,208
Tony Snell,78,213
Gorgui Dieng,82,245
Mason Plumlee,83,254
Solomon Hill,78,226
Tim Hardaway Jr.,77,205
Reggie Bullock,78,215
André Roberson,78,210
Rudy Gobert,85,245
Livio Jean-Charles,81,217
Archie Goodwin,78,200
Nemanja Nedović,76,192
Allen Crabbe,77,212
Isaiah Canaan,72,201
Glen Rice Jr.,78,215
Ray McCallum,75,190
Tony Mitchell,78,216
Nate Wolters,76,195
Jeff Withey,84,230
Pierre Jackson,70,180
Livio Jean-Charles,81,217
Grant Jerrett,82,235
Jamaal Franklin,77,191
Pierre Jackson,70,180
Ricky Ledo,79,197
Mike Muscala,83,240
Marko Todorović,83,240
Erick Green,75,185
Raul Neto,73,179
Ryan Kelly,82,230
Erik Murphy,82,230
James Ennis,79,215
Romero Osby,80,230
Lorenzo Brown,77,189
Colton Iverson,84,260
Arsalan Kazemi,79,226
Joffrey Lauvergne,83,260
Peyton Siva,72,185
Alex Oriakhi,81,255
Deshaun Thomas,79,220
Bojan Dubljević,82,240
Jānis Timma,79,225
Andrew Wiggins,81,197
Jabari Parker,80,245
Joel Embiid,85,250
Aaron Gordon,81,220
Dante Exum,79,214
Marcus Smart,76,220
Julius Randle,81,250
Nik Stauskas,78,205
Noah Vonleh,82,240
Elfrid Payton,76,185
Doug McDermott,80,219
Dario Šarić,81,225
Zach LaVine,77,181
T.J. Warren,79,220
Adreian Payne,81,240
Jusuf Nurkić,84,280
James Young,79,215
Tyler Ennis,75,194
Gary Harris,76,210
Bruno Caboclo,82,218
Mitch McGary,83,255
Jordan Adams,77,209
Rodney Hood,80,208
Shabazz Napier,73,175
Clint Capela,82,240
P.J. Hairston,77,229
Bogdan Bogdanović,78,220
C.J. Wilcox,77,195
Josh Huestis,81,230
Kyle Anderson,81,230
Damien Inglis,80,246
K.J. McDaniels,78,205
Joe Harris,78,218
Cleanthony Early,79,210
Jarnell Stokes,79,263
Johnny O'Bryant III,81,257
DeAndre Daniels,81,196
Spencer Dinwiddie,77,200
Jerami Grant,79,210
Glenn Robinson III,78,222
Nick Johnson,75,200
Walter Tavares,87,260
Markel Brown,76,190
Dwight Powell,83,240
Jordan Clarkson,77,185
Russ Smith,72,160
Lamar Patterson,77,225
Cameron Bairstow,81,250
Alec Brown,86,231
Thanasis Antetokounmpo,79,205
Vasilije Micić,78,203
